DomainName,CreationDate,ExpirationDate,RegistrarCountry,Secured,Servers,Type
 11111.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 112.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 112.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns6.myhostadmin.net,ns
 1122.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns4.myhostadmin.net,ns
 1122.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 113.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 113.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns6.myhostadmin.net,ns
 100points.wine, 2016-02-11, 2018-02-11, CH, unsigned, ns02.ticinohosting.ch,ns
 100points.wine, 2016-02-11, 2018-02-11, CH, unsigned, ns01.ticinohosting.ch,ns
 1133.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns2.myhostadmin.net,ns
 1133.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns1.myhostadmin.net,ns
 114.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 114.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 115.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 115.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns6.myhostadmin.net,ns
 1155.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns2.myhostadmin.net,ns
 1155.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns1.myhostadmin.net,ns
 116.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 116.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 1166.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns4.myhostadmin.net,ns
 1166.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns3.myhostadmin.net,ns
 117.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns4.myhostadmin.net,ns
 117.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 118.wine, 2017-04-16, 2018-04-16, CN, unsigned, ns2.myhostadmin.net,ns
 118.wine, 2017-04-16, 2018-04-16, CN, unsigned, ns1.myhostadmin.net,ns
